,avg_train_loss,avg_train_score,avg_valid_loss,avg_valid_score,std_train_loss,std_train_score,std_valid_loss,std_valid_score,cv0-train_loss,cv0-train_score,cv0-valid_loss,cv0-valid_score,cv1-train_loss,cv1-train_score,cv1-valid_loss,cv1-valid_score,cv2-train_loss,cv2-train_score,cv2-valid_loss,cv2-valid_score,cv3-train_loss,cv3-train_score,cv3-valid_loss,cv3-valid_score,cv4-train_loss,cv4-train_score,cv4-valid_loss,cv4-valid_score,cv5-train_loss,cv5-train_score,cv5-valid_loss,cv5-valid_score,cv6-train_loss,cv6-train_score,cv6-valid_loss,cv6-valid_score,cv7-train_loss,cv7-train_score,cv7-valid_loss,cv7-valid_score,cv8-train_loss,cv8-train_score,cv8-valid_loss,cv8-valid_score,cv9-train_loss,cv9-train_score,cv9-valid_loss,cv9-valid_score,cv10-train_loss,cv10-train_score,cv10-valid_loss,cv10-valid_score,cv11-train_loss,cv11-train_score,cv11-valid_loss,cv11-valid_score,cv12-train_loss,cv12-train_score,cv12-valid_loss,cv12-valid_score,cv13-train_loss,cv13-train_score,cv13-valid_loss,cv13-valid_score,cv14-train_loss,cv14-train_score,cv14-valid_loss,cv14-valid_score,cv15-train_loss,cv15-train_score,cv15-valid_loss,cv15-valid_score,cv16-train_loss,cv16-train_score,cv16-valid_loss,cv16-valid_score,cv17-train_loss,cv17-train_score,cv17-valid_loss,cv17-valid_score,cv18-train_loss,cv18-train_score,cv18-valid_loss,cv18-valid_score,cv19-train_loss,cv19-train_score,cv19-valid_loss,cv19-valid_score
senet/resnet_50/summary_not_scaled/aug_summary_window_40_step_20,0.18380143318199,0.7790296124896472,2.258863754570484,0.7654683380472266,0.005459880721912461,0.31487572944004216,0.6727509822469048,0.015823314781494194,0.1884819676752313,0.8863851165395311,1.825200468301773,0.7450969631344464,0.18185702856566946,0.9482172675089128,1.3899881839752195,0.75721755523332,0.1909671300011924,0.1529985346660036,,,0.18224117450289806,0.9177309234308828,3.007763087749481,0.7871559633027523,0.17545986516495882,0.9898162203029056,2.812503278255462,0.7724028705183877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchical_gru_context/summary_not_scaled/window_200_step_200_10fld,0.27239607923036935,0.9984955643190659,0.48028189164078167,0.7259868204463645,0.0176649034994769,0.0030088713618683814,0.07474666164183041,0.04723798157701221,0.2395508638298025,1.0,0.4763085250977802,0.7553306885701637,0.29208919710042525,1.0,0.5918321155527687,0.7606836283744085,0.2816662414341557,0.992477821595329,0.4568708677811978,0.7000567273655727,0.2746075961966904,1.0,0.3627468137733209,0.7689542080633776,0.2740664975907729,1.0,0.5136511359988407,0.6449088498583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn/attention_multiple_dropout_glu/summary_window_40_step_20,0.28854056137957074,0.975104067249714,1.152121102809906,0.7732131238070435,0.01426170226500758,0.009312190944642263,0.6941082304618956,0.04720601494259326,0.3089183576797184,0.958117635948636,1.367567777633667,0.7405643581481678,0.2915131316373223,0.973548354192304,0.7187129259109497,0.817970051036755,0.26691767475322675,0.9813164854514446,0.555646538734436,0.7150632891306171,0.2798076193583639,0.9850119368750172,0.6970061659812927,0.8388461281973889,0.2955460234692222,0.9775259237811684,2.421672105789185,0.7536217925222891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigru_attention/fft/fft_5000_pca_200_scaled_mixup_3,0.28378477246285627,0.9966534312618469,1.022783682309091,0.7005664498996749,0.01931342786136101,0.0031825431280693615,0.3343500966814402,0.09541522283377145,0.27405934809492183,0.997346234445816,0.5323490053415298,0.7697574049077751,0.26456961358109343,0.9913401971737664,0.4158770050853491,0.8655896453667113,0.3168038903520657,0.9895981234368528,0.9654162377119064,0.6650161530203285,0.281649773224042,0.9987396958658932,1.5189257264137268,0.6068823877102338,0.3086045074921388,0.9980383971155484,1.2625145316123962,0.7008823424438235,0.2529456075280905,0.9986520217792604,1.0805684328079224,0.7357679560254603,0.2977492562853373,0.9993529498888476,0.8416830599308014,0.7899069468179218,0.2771923036242907,0.9973776614877524,1.0283124297857285,0.7196725827655995,0.29556216156253445,0.9973922620104092,1.395904392004013,0.6409310644865079,0.26871126288404834,0.9986967694143228,1.1862860023975372,0.5112580154523861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigru_attention/fft/fft_5000_pca_200_scaled,0.5448294227773492,0.998338471216132,1.078675801306963,0.6733431604300152,0.06403035483468628,0.0022334284340700845,0.23650989463000624,0.08612684744272685,0.5051948888735338,1.0,0.8224985599517822,0.7405643581481678,0.6126104268160734,1.0,1.1168358251452446,0.7760421337099255,0.4415020780129866,1.0,1.0843934416770935,0.6659298054006787,0.4801895239136436,0.9933254850995562,1.6379001140594482,0.5063934476687583,0.5368166538802059,1.0,1.1476045101881027,0.6051057082972269,0.6514088592746041,0.9966863538074768,1.1654578149318695,0.7196555517100283,0.4777842543341897,0.9966864366271428,0.6904162168502808,0.81041403458619,0.5856147327206351,0.9966864366271428,1.1134636998176577,0.6489334107284183,0.5709084705872969,1.0,0.958492875099182,0.6554621894649467,0.5862643393603238,1.0,1.0496949553489685,0.6049309645858105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senet/resnet_10/summary_not_scaled/aug_summary_window_40_step_20_cancelled,0.3396899377306302,0.9899028935353616,1.0318283935387929,0.5879330898076142,0.012683037425486082,0.014279464903016504,0.7623208584687997,0.03906003477731403,0.3238831028342247,1.0,2.10731832186381,0.5350841619853018,0.3402518883347511,1.0,0.5588190257549286,0.6282777762827774,0.3549348220229149,0.9697086806060852,0.42934783299764,0.6004373311547632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigru_attention/summary_not_scaled/window_5000_summary_debug,0.4883269369602203,0.0,,,0.0,0.0,,,0.4883269369602203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senet/resnet_50/summary_not_scaled/aug_summary_window_40_step_20_oversampling,0.2580628071548575,0.9488968855560111,1.425508862733841,0.7681722668529479,0.010006074116588059,0.03562574645485732,0.2804346717727486,0.044078720221885664,0.2641352442866665,0.9419692596579208,1.1243268847465515,0.7150951343988543,0.2537088664406437,0.8914432538440299,1.2269324064254759,0.7755132653828921,0.27405015568611985,0.9375453789915464,1.3296992480754852,0.7196220259521074,0.2451829430410417,0.9872504887470848,1.91892609000206,0.8107597159783253,0.25323682631981576,0.9862760465394736,1.527659684419632,0.8198711925525606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigru_attention/summary_not_scaled/window_5000_summary_adabound,0.6164985348780949,0.8188164191317544,0.4833678245544434,0.790577670622862,0.03677777214612382,0.05227870465448522,0.046829522871436075,0.04727294641017291,0.6413570841153463,0.8888879752515163,0.5180172324180603,0.7143446384359412,0.5759245455265045,0.7887121229994801,0.4547935128211975,0.8560542982452293,0.5978380640347799,0.8465621155354537,0.4680562317371368,0.8142104936309331,0.6875178615252177,0.8135391807980196,0.5810242891311646,0.7267539025041305,0.5784257302681605,0.899568337055797,0.4172598123550415,0.773106687112802,0.5643906543652216,0.7865412682829835,0.4266306459903717,0.7707646232547085,0.6454305549462637,0.7218467038332991,0.5125063061714172,0.8323887166166501,0.6439313292503357,0.8298883992542337,0.5161803960800171,0.7515758028988039,0.6225514908631643,0.765593419571597,0.4807361960411072,0.8340267677662686,0.6076180338859558,0.8470246687351638,0.4584736227989197,0.8325507757631523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigru_attention/summary_not_scaled/window_5000_summary_adabound_fixed_attention,0.39048364333469754,0.8829171244695517,0.2590744525194168,0.773339178583308,0.018628913645626088,0.08352658600409087,0.013852804660716424,0.054768279694791054,0.360539128834551,0.8628210276746443,0.2351913079619408,0.7008823424438235,0.372613402930173,0.9188726792500492,0.2560095489025116,0.8767924412396498,0.38964055614037946,0.8961816411944818,0.2480214908719063,0.7788617985181444,0.3904175724495541,0.9456144476390598,0.2673613876104355,0.7143446384359412,0.4018759483640844,0.9525541888828124,0.26059650629758835,0.7267539025041305,0.3964276367967779,0.7858529733885113,0.24810682982206345,0.7537560337575655,0.3843643924390728,0.7726505495145789,0.27790989726781845,0.8560206879926783,0.39530821957371454,0.9764886425748179,0.2845043018460274,0.7788168935087227,0.4341535839167508,0.7415077166678662,0.2541475966572761,0.75,0.3794959919019179,0.9766273779086962,0.2588956579566002,0.7971630474324247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
